"","site_id","uid","comid","date_col","ag_eco9","lat_dd83","lon_dd83","area_ha","tp_ug","nitrate_mg","nitrate_nitrite_mg","nitrite_mg","ammonia_mg","tn_ug","doc_mg","toc_mg","site_depth","chla_ug","secchi_m","lake_nhdid","lagoslakeid","year","lake_connectivity_permanent","lake_maxdepth_m","w.arch1","w.arch2","w.arch3","w.arch4","w.arch5","w.arch6","w.arch7","max.arch","w.max.arch"
"1","NLA17_MN-10007",2010459,4818363,"7/12/2017","UMW",47.07371,-94.60199,105.3593,13.71125,0,NA,0,0.007,475,4.62,NA,24.3,2.95,3.45,NA,100096,2017,"DrainageLk",24.3828105926514,0.020800109607258,0.0286704063146778,0.421429027586029,0,0.358896575523167,0.169176177194993,0.00102604479502188,3,0.421429027586029
"2","NLA17_MO-10043",2010958,66795829,"9/25/2017","TPL",39.5984,-91.64976,1.710287,46.89875,0.0017,NA,0,0.02,993,8.01,NA,4.2,63.52,0.36,NA,100303,2017,"Isolated",NA,0.620457214303893,0,0.10897804139596,0.270612962924243,0,0,0,1,0.620457214303893
"3","NLA12_MI-144",7251,12258858,"7/17/2012","UMW",41.87226233,-85.86229695,3.033750795,26,0,0,0,0.035,643,5.21,NA,2.7,3.514666667,NA,"155637654",100824,2012,"Isolated",2.7,0.239472017247635,0.0901234163258588,0.0808907042727187,0,0.458945098933367,0.13056463723101,0,5,0.458945098933367
"4","NLA12_MN-113",7243,4123850,"7/17/2012","TPL",44.43065079,-96.29029849,34.05383469,236,0,0,0,0.02,3844,12.67,NA,1.6,203.4,0.3,"82958915",101192,2012,"Isolated",1.6,0.10062819210705,0,0.65904126123327,0.0944412299889905,0.139039136950958,0.00684767994249017,0,3,0.65904126123327
"5","NLA17_WI-10016",2010507,12991823,"7/18/2017","UMW",45.62225,-90.48676,19.02011,18.2,NA,NA,NA,NA,309,8.78,NA,11,4.13,2.375,NA,101268,2017,"Isolated",NA,0,0,0.288652839824999,0.0895476415796287,0.509969282247691,0.111851772072893,0,5,0.509969282247691
"6","NLA12_MI-135",7004,13174667,"7/6/2012","UMW",42.41405836,-83.93137109,36.94498424,22,0.002,0.002,0,0.022,568,8.55,NA,11.5,4.581,2.85,"145333884",101939,2012,"DrainageLk",12.8,0.358488090688937,0,0,0,0.591461135269614,0.0327666793333605,0.017287912221345,5,0.591461135269614
"7","NLA17_MN-10001",2010655,4831078,"8/1/2017","UMW",47.59802,-93.40415,145.7553,16.798,0,NA,0,0.026,493,9.81,NA,8.5,4.28,2.7,NA,102137,2017,"DrainageLk",10.4,0,0.0609130644464677,0.175424895870878,0,0.518766965535807,0.0537278957617323,0.191163085675093,5,0.518766965535807
"8","NLA12_OH-113",8642,19387372,"9/19/2012","SAP",40.76004634,-81.10117086,8.113327045,164,0.004,0.006,0.001,0.038,1778,5.39,NA,3.2,88.8,0.725,"152014478",103024,2012,"Drainage",3.2,0.349227492351124,0,0.0939999157877089,0.16409642149297,0,0.326972063209274,0.0657266398628092,1,0.349227492351124
"9","NLA17_IL-10006",2010996,10081064,"6/7/2017","TPL",40.48022,-88.103,1.734537,14.08,0,NA,0,0.012,399,3.21,NA,4.7,3.38,1.65,NA,103073,2017,"Isolated",4.5,0.0654284079397815,0,0.512615673510384,0.402020232612207,0,0.0199476572359685,0,3,0.512615673510384
"10","NLA17_WI-10027",2010538,70334771,"7/20/2017","UMW",45.70825,-89.55144,1.03547,39.8,NA,NA,NA,NA,405,12.6,NA,3.8,29.9,1.5,NA,103308,2017,"Headwater",NA,0,0.0112728215288551,0.0569492394780459,0.0295956871844372,0.519511008889144,0.120937097482097,0.261735259708688,5,0.519511008889144
"11","NLA17_MI-10133",2010844,11949779,"8/31/2017","UMW",46.26051,-89.221,2.718363,18.38125,0,NA,0,0.016,563,17.03,NA,16.5,7.99,0.55,NA,10344,2017,"Isolated",NA,0.305207282258655,0,0.0184843082432966,0,0.518019444374794,0.133747862735225,0.0245628822957516,5,0.518019444374794
"12","NLA17_OH-10008",2010664,3881524,"8/2/2017","TPL",39.66169,-84.64621,7.121802,71.33875,0.1663,NA,0.011,0.049,1834,5.18,NA,4.6,49.8,0.55,NA,104100,2017,"Drainage",3.9,0.679997062117312,0,0.146716104774475,0.100588422586228,0,0.0727008841009203,0,1,0.679997062117312
"13","NLA12_MN-114",7971,4251634,"8/15/2012","UMW",45.23853942,-94.95293761,72.6803554,159,0,0,0,0.021,3006,14.89,NA,3.1,115.7333333,0.3,"45361127",104234,2012,"Isolated",3,0,0.123777698339771,0.48040348132699,0.0108587342135547,0.292127910521595,0.060411667173371,0.0324185036411411,3,0.48040348132699
"14","NLA17_MN-10842",2010910,22328583,"9/13/2017","UMW",47.18926,-95.21868,113.0402,17.18,0,NA,0,0.013,473,6.63,NA,29.4,3.54,3.35,NA,1045,2017,"Drainage",29.6243228912354,0.0559085618289677,0,0.289222351077626,0,0.537796049309423,0.101734220555547,0.015347371580728,5,0.537796049309423
"15","NLA17_WI-10111",2010522,13394583,"7/19/2017","UMW",45.75673,-89.45093,3.620717,11.3,NA,NA,NA,NA,242,7.08,NA,6.5,2.86,3.75,NA,1046,2017,"Isolated",4.8768,0,0.0557065372554801,0.18966817592992,0,0.704315642897046,0.0503534902305492,0,5,0.704315642897046
